[교육용어]

家族治療	가족치료
可動爐	가동로
加齡現想	가령현상
可變翼機	가변익기
可變增幅管	가변증폭관
可變蓄電器	가변축전기
可塑性耐火物	가소성내화물
可視放射計	가시방사계
角閃石	각섬석
角速度	각속도
桿狀體	간상체
感光性樹脂	감광성수지
減極化	감극화
橄欖石	감람석
橄欖巖	감람암
鑑別培養基	감별배양기
減壓神經	감압신경
甘汞電極	감홍전극
甲狀腺機能低下症	갑상선기능저하증
甲狀腺機能亢進症	갑상선기능항진증
放線菌	방선균
南極環流	남극환류
架空電線	가공전선
假平均	가평균
始祖새				   시조새

[정보통신]
光中繼器	광중계기 
單對單 暗號化	단대단 암호화
防火壁	방화벽 
電子貨幣	전자 화폐 

[산업공학]
顧客滿足經營	고객만족경영
物流革新	물류혁신 
時間基準競爭	시간기준경쟁
適時供給生産體制	적시공급생산체제

[의학용어]
肝技能檢査	간기능검사  
强迫性人格障碍	강박성 인격장애
結膜炎	결막염
結腸癌	결장암
結核	결핵
高血壓	고혈압
高血壓性 心疾患	고혈압성 심질환 
交感神經系	교감신경계
佝僂病	구루병
潰瘍	궤양  

[건축용어]
旣成檢査	기성검사
假登記	가등기
高度地區	고도지구
公共收用	공공수용
公用面積	공용면적
根抵當	근저당
裸垈地	나대지
多家口形 單獨住宅	다가구형 단독주택
都市住宅價格指數	도시주택가격지수
豫告登記	예고등기
請約賦金/請約預金/請約貯蓄	청약부금/청약예금/청약저축
投機過熱地區	투기과열지구
標準工事費	표준공사비
